game conclution, AI choice, player choice
AI Wins!, PAPER, ROCK
AI Wins!, PAPER, ROCK
Tie!, ROCK, ROCK
AI Wins!, PAPER, ROCK
AI Wins!, PAPER, ROCK
Tie!, ROCK, ROCK
You Win!, PAPER, SCISSORS
You Win!, SCISSORS, ROCK
Tie!, ROCK, ROCK
Tie!, ROCK, ROCK
AI Wins!, PAPER, ROCK
AI Wins!, PAPER, ROCK
Tie!, ROCK, ROCK
You Win!, SCISSORS, ROCK
AI Wins!, PAPER, ROCK
AI Wins!, PAPER, ROCK
You Win!, SCISSORS, ROCK
Tie!, ROCK, ROCK
You Win!, SCISSORS, ROCK
AI Wins!, PAPER, ROCK
AI Wins!, PAPER, ROCK
No contest, SCISSORS, None
Tie!, ROCK, ROCK
Tie!, ROCK, ROCK
AI Wins!, PAPER, ROCK
You Win!, SCISSORS, ROCK
AI Wins!, SCISSORS, PAPER
You Win!, SCISSORS, ROCK
Tie!, ROCK, ROCK
Tie!, ROCK, ROCK
Tie!, ROCK, ROCK
AI Wins!, PAPER, ROCK
You Win!, SCISSORS, ROCK
You Win!, SCISSORS, ROCK
AI Wins!, PAPER, ROCK
You Win!, SCISSORS, ROCK
No contest, ROCK, None
No contest, ROCK, None
Tie!, ROCK, ROCK
You Win!, SCISSORS, ROCK
AI Wins!, PAPER, ROCK
Tie!, ROCK, ROCK
Tie!, ROCK, ROCK
You Win!, PAPER, SCISSORS
AI Wins!, PAPER, ROCK
You Win!, SCISSORS, ROCK
Tie!, PAPER, PAPER
Tie!, ROCK, ROCK
AI Wins!, PAPER, ROCK
Tie!, ROCK, ROCK
You Win!, ROCK, PAPER
Tie!, ROCK, ROCK
AI Wins!, PAPER, ROCK
